"Domaine","Support","Année","Nauteurs","Titre"
"Informatique", "COMM", "1998", "2", "La socialité : étude, enjeux et applications dans les Systèmes multi-agents"
"Lettres", "ART", "1997", "1", "Histoires d'Histoire"
"Lettres", "COUV", "1995", "1", "Alexandre Dumas entre l'Histoire et l'aventure - Éléments d'une poétique du roman de cape et d'épée"
"Linguistique", "ART", "2011", "1", "Vous avez le droit de garder le silence : un scénario pédagogique pour faire parler les étudiants de droit"
"Linguistique", "COUV", "2018", "8", "Les hétéro-répétitions dans une interaction orale : définition et conception d’un outil de détection automatique"
"Informatique", "COMM", "2017", "3", "Cognition, émotions et relations sociales pour la simulation multi-agent"
"Informatique", "COMM", "2014", "3", "Méthodologie d'ingénierie des connaissances pour la représentation des définitions lexicographiques dans le cadre de la théorie Sens-Texte"
"Linguistique", "COMM", "2007", "1", "Dialectologie et standardisation linguistique."
"Lettres", "ART", "2009", "1", "Je me rappelle (années 70) - En guise d'introduction à la journée d'études sur l'autoportrait fragmentaire"
"Informatique", "COMM", "2013", "1", "Sécurité du passeport électronique : 10 ans après son lancement, quelles lecons en tirer ?"
"Informatique", "COUV", "2012", "2", "Spline et Idéal, ou la création d’oeuvres numériques animées et élastiques"
"Lettres", "COUV", "2016", "1", "Flèche de tout bois"
"Linguistique", "ART", "2009", "1", "La science-fiction et le Río de la Plata - Journal d'un séminaire"
"Informatique", "COMM", "2009", "4", "Diagnostic multi-sources adaptatif Application à la détection d'intrusion dans des serveurs Web"
"Linguistique", "COUV", "2005", "2", "Contacts de l@ngues sur écran ou comment on donne sa langue à la souris"
"Linguistique", "COUV", "2006", "1", "Carcassonne M., Présentation de soi dans l'entretien : narration, explication, interprétation in Grossen M., Salazar-Orvig A., (dirs.), 2006, L'entretien clinique en pratique, Paris, Belin, pp. 213-231."
"Informatique", "COMM", "2008", "4", "Modèle d'interaction mécanique cœur-poumon"
"Informatique", "COMM", "2005", "2", "Intégration efficace des arbres de décision dans les SGBD : utilisation des index bitmap"
"Linguistique", "COUV", "2008", "1", "Pathologie vocale chez les professionnels de la voix."
"Linguistique", "ART", "2004", "2", "Recherche de critères formels pour l'identification automatique des particules discursives"
"Lettres", "ART", "2012", "1", "Phèdre janséniste ? retour sur un lieu commun (2)"
"Lettres", "ART", "1999", "1", "Brève échappée vers l'extra-monde ; les esprits dans Spirite de Théophile Gautier et Aurélia de Nerval"
"Informatique", "COMM", "2011", "3", "Interaction sur Dispositifs Mobiles : glisser-déposer devant/derrière bi-manuel"
"Lettres", "COMM", "2011", "1", "Les populations civiles pendant la guerre de Trente ans dans le roman de Grimmeslhausen Les Aventures de Simplicius Simplicissimus"
"Linguistique", "ART", "2010", "1", "Premiers éléments de définition d'un type émergent de FASP : l'ecothriller"
"Informatique", "COMM", "2008", "6", "Nouvelle méthode automatique de contrôle de qualité des systèmes de planification géométrique des traitements en radiothérapie externe conformationnelle"
"Informatique", "COMM", "2006", "1", "L'évolution du logiciel dirigée par les contraintes architecturales"
"Linguistique", "COUV", "2008", "1", "Pierre Larousse et Émile Littré : une oeuvre renouvelée et prestigieuse"
"Lettres", "COMM", "2010", "1", "La Boétie pour Montaigne : du confrère bien-aimé à l'ami de papier"
"Informatique", "ART", "2014", "3", "La diversité : entre besoin et méfiance dans les systèmes de recommandation"
"Linguistique", "COUV", "2009", "1", "L'enseignement de l'écriture de l'écriture de la fable en primaire et en lycée"
"Lettres", "ART", "2010", "1", "Entre nous..."
"Linguistique", "COUV", "2014", "1", "Présentation d'une langue: le hongrois"
"Informatique", "COMM", "2011", "8", "Effet de l'entrainement du rythme respiratoire par un stimulus auditif sur la relation temporelle entre les débuts d'activité respiratoire des muscles des ailes du nez et du thorax"
"Informatique", "COMM", "2010", "2", "Patrons de scénarios pour l'exploration qualitative d'un écosystème"
"Linguistique", "COUV", "2017", "2", "« Théorie des opérations énonciatives »"
"Lettres", "COUV", "2000", "1", "Le public, le romanesque et l'Histoire. Vigny et Mérimée explorateurs du roman historique"
"Lettres", "COMM", "2009", "1", "Michel de Montaigne assis dans le moiau de tout le trouble des guerres civiles de France"
"Lettres", "COMM", "2008", "1", "La Maye, rive américaine"
"Lettres", "COUV", "2000", "1", "Le cinéma de cape et d'épée ou la relève du panache"
"Lettres", "COMM", "2005", "1", "La familiarité de l'ailleurs : espace et temps dans la poésie de Claude Michel Cluny"
"Informatique", "COMM", "2014", "5", "Cartographie rapide d’un plan dans l’espace à l’aide d’une Kinect"
"Linguistique", "ART", "2012", "1", "La langue russe à l'épreuve de la crise économique de 2007-2009 : les apports linguistiques au travers de la presse"
"Lettres", "COUV", "2012", "1", "Éditer tout Montaigne ? L'épineuse question du contenu"
"Linguistique", "ART", "2013", "1", "Mise au point sur l'éthique dans les séries télévisées à substrat juridique"
"Informatique", "ART", "2010", "1", "Écriture automatique"
"Linguistique", "COMM", "2006", "1", "La lexicographie bilingue néolatine aux éditions Larousse, Histoire, types et méthodes"
"Linguistique", "COUV", "2007", "1", "La grammaticalisation au niveau du paradigme : de la pragmatique à la sémantique"
"Linguistique", "COMM", "2008", "1", "Les touristes et le tourisme : Voyage lexicographique de l'Angleterre à l'Italie !"
"Lettres", "COMM", "2014", "1", "Entités féminines dans le corpus de ʾIlimilku : agency féminine, sexe social et rapports de pouvoir. Un exemple de méthodologie avec le Cycle de Baʿlu"
"Lettres", "COUV", "2006", "1", "Le Vicaire hanté par l'Aveugle"
"Lettres", "ART", "2007", "1", "Rire et peur dans la poésie satirique au tournant des XVIe et XVIIe siècles , in Peur et littérature du Moyen Âge au XVIIe siècle, sous la direction de Pascal Debailly et Florence Dumora"
"Informatique", "ART", "2010", "3", "Les réseaux à petites cellules économes en énergie"
"Informatique", "COMM", "2011", "3", "MARTS : Conception d'un Système Mobile de Réalité Augmentée Dédié au Tourisme"
"Linguistique", "ART", "2016", "2", "Du gitan au français : d’une langue hors-norme à une langue normée ?"
"Informatique", "COMM", "2011", "3", "Partage de données environnementales pour la découverte et l'observation de la terre"
"Linguistique", "ART", "2012", "1", "La phonation et les conséquences des pathologies oropharyngolaryngées."
"Informatique", "COMM", "2010", "4", "Gestion de stocks avec transshipment dans un réseau de distribution multi sites et multi échelons"
"Informatique", "COMM", "2005", "5", "Les collections muséographiques en 3D par microtomographie Rayons X"
"Lettres", "ART", "2010", "1", "Sont-ils Bohémiens ou Égyptiens ? Viennent-ils d'ailleurs ou bien d'ici ?"
"Informatique", "COMM", "2011", "3", "Décomposition Empirique Modale pour l'étude des interactions cardio-respiratoires volumétriques : une approche simulée"
"Lettres", "COUV", "2011", "1", "L’événement biographique et ses éco-textes : le bras gauche de Valle-Inclán / Alberca Manuel ; trad. par Christine Rivalan Guégo"
"Lettres", "ART", "2008", "1", "Mythe et histoire dans La Pucelle d'Orléans de Schiller"
"Linguistique", "COUV", "2014", "1", "Vibrations et résonances en voix chantée"
"Lettres", "COUV", "1997", "1", "L'objet chez les poètes de l'art pour l'art"
"Lettres", "COMM", "2012", "1", "La modestie de Bräker dans Le pauvre homme du Toggenbourg, entre feinte et sincérité"
"Lettres", "COUV", "1997", "1", "Lagardère de père en fils ou les aventures d'un genre populaire"
"Informatique", "COMM", "2004", "3", "Sérialisation du k-means pour la segmentation des images en couleur"
"Linguistique", "COUV", "2008", "2", "Figures de la figure"
"Lettres", "COMM", "2010", "1", "Gaston Miron, l'amour et le militant"
"Informatique", "COMM", "2004", "3", "Advene, une plateforme pour l'édition et la visualisation d'hypervidéos"
"Lettres", "ART", "2012", "1", "« Étude et édition annotée du Quatrième Abécédaire spirituel de Francisco de Osuna (1530). Résumé de thèse »"
"Lettres", "COUV", "2002", "1", "Du Bulletin des Ecrivains de 1914 à l'Association des Ecrivains Combattants (AEC) : des combats à la mémoire, 1914-1927"
"Lettres", "ART", "2012", "1", "Dom Juan et l'ordre établi"
"Lettres", "COUV", "1998", "1", "Sur la route de Versailles : les châteaux dans le roman de cape et d'épée"
"Informatique", "ART", "2017", "1", "In the jungle of the cyberspace"
"Informatique", "COMM", "1999", "2", "MICRoBES : vers des collectivités de robots socialement situés"
"Linguistique", "ART", "2017", "1", "Mettre en synergie TOUTES les langues : clé pour l’apprentissage des langues, du français… et des autres matières"
"Lettres", "COMM", "2009", "1", "Agnes Göppel, héroïne romantique, inadaptée à ' la dureté des temps' dans Der Untertan"
"Linguistique", "COMM", "2009", "17", "ANNODIS : une approche outillée de l'annotation de structures discursives"
"Informatique", "COMM", "2011", "4", "Quand l'émergence dans les textes scientifiques entraîne la dynamique dans les ontologies associées : application à la paléontologie"
"Lettres", "COUV", "1996", "1", "Le roman de cape et d'épée, genre populaire et genre mineur"
"Linguistique", "COUV", "2001", "1", "La résistance des articles du et des à l’interprétation générique"
"Informatique", "COMM", "2015", "4", "Optimisation exacte de critères parcimonieux en norme L0 par programmation mixte en nombres entiers"
"Informatique", "COMM", "2011", "3", "Une proposition d'ingénierie pédagogique pour l'intégration des SIG dans les géosciences appliquées : une formation en ligne et en semi - Autonomie"
"Lettres", "COMM", "2011", "1", "Allégeances politiques et stratégies polémiques dans les épîtres dédicatoires d'André Alciat"
"Lettres", "ART", "1999", "1", "La méprise tragique. Transformations d'un récit traditionnel"
"Informatique", "COMM", "2008", "2", "Modélisation de la Dynamique des Réseaux Complexes associée à la Prétopologie"
"Lettres", "COUV", "2012", "1", "Les ironies du Charognard de Joëlle Gardes"
"Linguistique", "COMM", "2011", "1", "Quand les compléments dits « facultatifs » ne sont pas facultatifs"
"Informatique", "COMM", "2010", "5", "La télé participation aux enseignements de travaux pratiques. Application à l'accès à tous les enseignements pour les étudiants handicapés"
"Informatique", "COMM", "2011", "1", "Ressources lexicales pour une sémantique inférentielle : un exemple, le mot  quitter"
"Informatique", "COMM", "2011", "3", "Flexibilité dans les plans pour une planification centrée humain"
"Lettres", "COUV", "2000", "1", "Perceforest et ses decepcions baroques"
"Informatique", "COUV", "2005", "3", "Extraction de connaissances provenant de données multisources pour la caractérisation d'arythmies cardiaques"
"Lettres", "COUV", "2007", "1", "Molière, démon vêtu de chair, habillé en homme"
"Informatique", "COMM", "2004", "2", "Segmentation de documents écrits en ligne"
"Linguistique", "ART", "2015", "6", "Quelques représentations des dimensions macro-syntaxique et discursive dans les grammaires (langues romanes et slaves)"
"Lettres", "ART", "2010", "1", "Compte rendu de l'ouvrage de James R. SIMPSON. - Troubling Arthurian histories. Court Culture, Performance and Scandal in Chrétien de Troyes's Erec et Enide. Oxford/Berne/Bruxelles, Peter Lang, 2007, 520 pp. (Medieval and Early Modern French Studies, 5)."
"Linguistique", "COUV", "2014", "2", "Des communiqués de presse du Cnes à la presse généraliste Vers un observatoire de la diffusion des termes"
"Lettres", "ART", "2004", "1", "Ariane et ses ombres : les trois strates de la réécriture poétique dans la dixième Héroïde"
"Lettres", "COUV", "2003", "1", "Théophile Gautier : Regardez, mais ne touchez pas (comédie)"
"Informatique", "COMM", "2013", "3", "Édition interactive d'énoncés en langue des signes française dédiée aux avatars signeurs"
"Linguistique", "ART", "2011", "1", "FASP juridique télévisuelle : gros plan sur les étudiants en droit et zoom arrière sur une approche pédagogique"
"Informatique", "COMM", "1999", "4", "A.R.C.T.I.C : Un système automatique de Tri Cellulaire par Analyse d'Images"
"Informatique", "COMM", "2010", "4", "Planification de production sous contraintes de législation et de ressource goulet"
"Linguistique", "COMM", "2008", "1", "Les dictionnaires de synonymes (XVIe-XXIe s.)"
"Lettres", "COUV", "2003", "1", "Apprendre l'Histoire au peuple. Alexandre Dumas vulgarisateur"
"Lettres", "ART", "2014", "1", "Compte-rendu de l'ouvrage de Jacques-Charles Lemaire, éd et trad. - Le Romanz du reis Yder. Fernelmont/Bruxelles, Éditions modulaires européennes & intercommunications, 2010, 587 p. (Auteur(e)s français(e)s)"
"Linguistique", "COMM", "2004", "1", "Port-Royal et l'énonciation"
"Informatique", "COMM", "2011", "3", "Extraction de connaissances agronomiques par fouille des voisinages entre occupations du sol"
"Linguistique", "COMM", "2012", "1", "Contexte et nature des réalisations phonétiques en parole conversationnelle"
"Lettres", "COMM", "2007", "1", "L'altérité au principe de l'auctorialité: les enjeux d'une translatio vulgaire dans trois traductions avant 1540"
"Informatique", "COMM", "2006", "4", "Performances des mécanismes de robustesse de H.264/AVC sur un lien sans fil"
"Lettres", "ART", "2011", "1", "Antiquité et poésie civile chez Carducci et Pascoli"
"Informatique", "COMM", "2006", "3", "Influence du temps d'adhésion sur le contrôle de congestion multicast"
"Informatique", "COMM", "2012", "4", "Propagation des contraintes tables souples Etude pr eliminaire"
"Informatique", "COMM", "2009", "2", "Choix résolu et utilité espérée dépendant du rang dans les diagrammes d'influence"
"Informatique", "COMM", "2006", "3", "Transmission applicative multipoint pour les réseaux ad-hoc"
"Lettres", "ART", "2017", "1", "Un « chemin de perfection » pour Josefa Maria da Trindade (O. S. B.). Vitalité du modèle de Sainte Thérèse de Jésus dans Vida de huma illustre virgem (XVIIIe siècle)"
"Lettres", "COMM", "2004", "1", "Montaigne, Pétrarque, les moines et la retraite à trente-huit ans"
"Lettres", "COUV", "2000", "1", "Action politique et fiction romanesque : l'impossible révolution d'Alexandre Dumas"
"Lettres", "COMM", "2009", "1", "Aller et retour dans l'Autre Monde : la déesse celtique de souveraineté au double visage"
"Linguistique", "COMM", "2015", "3", "Typologie automatique des langues à partir de treebanks"
"Lettres", "ART", "2006", "1", "L'instinct du beau chez Montaigne"
"Linguistique", "ART", "2003", "2", "Quelques caractéristiques du discours patronal"
"Informatique", "COMM", "2012", "2", "Concevoir, simuler, exécuter, Une chaine de développement pour réseaux de capteurs"
"Linguistique", "COMM", "2006", "1", "Brève histoire de la proposition"
"Linguistique", "COMM", "2012", "1", "Évaluation instrumentale de la dysphonie"
"Lettres", "COMM", "2016", "1", "Franca Rame « giullaressa », une jongleuse pour la cause des femmes"
"Linguistique", "COMM", "2006", "2", "« Saxifrage et casse-pierre : quelles propriétés distinctives des mots composés VN et NV en français ? »"
"Informatique", "COMM", "2012", "4", "Un solveur léger efficace pour interroger le Web Sémantique"
"Lettres", "ART", "2014", "1", "Compte-rendu de l'ouvrage de Ursula Bähler et Alain Corbellari, éd. - Gaston Paris - Joseph Bédier. Correspondance. Florence, SISMEL-Edizioni del Galluzzo, 2009, xxix-183 p., 1 ill. (L'Europe des philologues, correspondances, 1). / Ursula Bähler, Richard Trachsler et Larissa Birrer, éd. - Portraits de médiévistes suisses (1850-2000). Une profession au fil du temps. Droz, 2009, viii-402 p., 9 ill. (Publications romanes et françaises, CCXLVI)"
"Lettres", "ART", "2008", "1", "Pour une archéologie de la critique de paysage"
"Informatique", "ART", "2009", "4", "Classification prétopologique basée sur la complexité de Kolmogorov"
"Lettres", "COMM", "2014", "1", "Image du Docteur dans Doctor Who : scientifique ou magicien ?"
"Linguistique", "COUV", "2008", "1", "Évaluer les effets de l'éducation artistique et culturelle, symposium européen et international de recherche."
"Informatique", "COMM", "2011", "1", "Efficacité des serious games pour la stimulation/rééducation cognitive"
"Lettres", "COUV", "2002", "1", "Remarques sur la tradition du texte des fragments des Antiquités Romaines de Denys d'Halicarnasse (livres XII-XX) : de la fiabilité des éditions modernes"
"Lettres", "COUV", "2007", "1", "Genèse et disparition de la Panogaudopole. L'épisode supprimé du jouet des enfants Homais (Madame Bovary, II, 14)"
"Lettres", "COUV", "2004", "1", "Consuelo, “logogriphe” du roman historique"
"Informatique", "ART", "2006", "1", "Mieux prévoir les phénomènes météorologiques"
"Informatique", "COMM", "2006", "3", "Etude de la compression robuste des entêtes dans un réseau IEEE 802.11"
"Lettres", "COMM", "2006", "1", "Yvain et le gardien de la fontaine : le Feu dans l'Eau dans la littérature arthurienne"
"Informatique", "COMM", "2013", "1", "Estimation Spectrale Paramétrique Dédiée au Diagnostic de la Génératrice Asynchrone dans un Contexte Éolien"
"Lettres", "COMM", "1998", "1", "Les êtres de raison, ou les modes d'être de la littérature"
"Linguistique", "COUV", "2009", "1", "Changement de sens du toponyme en discours : de Outreau « ville » à Outreau « fiasco judiciaire »"
"Informatique", "COMM", "2009", "3", "Potentiel sériel (en contexte) de quelques expressions adverbiales cadratives"
"Informatique", "COMM", "2012", "4", "Une classe traitable de problèmes de planification temporelle"
"Informatique", "ART", "2008", "2", "Comment bâtir un cours multimédia avec LimSee3 ?"
"Linguistique", "COMM", "2009", "1", "Paysage, imaginaire et éducation : apprendre à lire le monde dans le roman scolaire."
"Informatique", "COMM", "2004", "3", "Perception de la situation d'apprentissage par le tuteur en ligne"
"Lettres", "COUV", "2001", "1", "Denys d'Halicarnasse, historien grec de Rome"
"Lettres", "COUV", "2003", "1", "Fondements et crises de la royauté à Rome : les règnes de Servius Tullius et de Tarquin le Superbe chez Denys d'Halicarnasse et Tite-Live"
"Linguistique", "ART", "2015", "1", "Du paradoxe au style paradoxal : l'exemple des Caractères de La Bruyère"
"Lettres", "COUV", "2016", "1", "Temporalité historique et narration (avec E. Bertrand et M. Coudry)"
"Lettres", "COUV", "2000", "1", "Théophile Gautier, une éthique de la distance"
"Lettres", "COMM", "2007", "1", "Triple mort et chasse au cerf dans la littérature galloise médiévale"
"Linguistique", "COUV", "2008", "1", "Les contractions préposition + déterminant en allemand et en français"
"Linguistique", "COUV", "2005", "2", "Le discours patronal, discours de propagande"
"Linguistique", "COMM", "2012", "5", "Perception par la communauté du discours de patients atteints de schizophrénie"
"Linguistique", "COMM", "2016", "7", "Disfluences dans le vieillissement normal et la maladie d'Alzheimer : indices segmentaux, suprasegmentaux et gestuels"
"Informatique", "COMM", "2012", "6", "Résolution du problème d'allocation de cultures par satisfaction de contraintes pondérées"
"Lettres", "COUV", "2014", "1", "Ce que dit la bouche d'ombre"
"Lettres", "ART", "2005", "1", "Giosuè Carducci et la critique française"
"Informatique", "COMM", "2006", "1", "Problèmes de communication et de coordination dans les systèmes spatiaux"
"Informatique", "COMM", "2006", "3", "Anticipation des handovers des noeuds IPv6 à l'aide d'informations de géolocalisation"
"Lettres", "COUV", "2009", "1", "Images de l’Amérique dans la culture italienne des années 30"
"Informatique", "COMM", "2010", "2", "Une approche de choix résolu au sens de Jaffray dans les arbres de décision munis de probabilités imprécises"
"Linguistique", "COMM", "2006", "2", "Trente minutes pour vaincre : Coopération et conflit dans le débat Nicolas Sarkozy/Tariq Ramadan"
"Linguistique", "ART", "2006", "1", "Dialogisme, polyphonie, diaphonie : quelques critères de distinction"
"Lettres", "COUV", "2016", "1", "Jacob Spon et George Wheler: redécouvrir un monde devenu inconnu"
"Lettres", "ART", "2014", "1", "Compte-rendu de l'ouvrage de Susan B. Edgington et Carol Sweetenham, trad. et introd. - The Chanson d'Antioche. An Old French Account of the first Crusade. Farnham, Ashgate, 2011, viii-428 p. (Crusade Texts in Translation, 22)"
"Lettres", "COUV", "2004", "1", "“Il faut Naples...” La San Felice, dépaysement et engagement du roman historique"
"Lettres", "COUV", "2016", "1", "Denys d'Halicarnasse, source et modèle de Cassius Dion?"
"Linguistique", "ART", "2008", "1", "Les pronoms impersonnels humains - syntaxe et interprétation"
"Informatique", "COMM", "2012", "8", "Filtrage de fonctions de coût globales d écomposables"
"Informatique", "COMM", "2009", "4", "Problème de lot-sizing à capacité finie avec fenêtres de temps et contraintes de services"
"Informatique", "COMM", "2010", "4", "Utilisation de l'information photométrique pour la sélection des hyperparamètres en recalage géométrique d'images"
"Lettres", "ART", "2010", "1", "Compte rendu de l'ouvrage de Helen DELL. - Desire by Gender and Genre in Trouvère Song. Woodbridge, D. S. Brewer, 2008, X-241 pp. (Gallica, 10)."
"Informatique", "COMM", "2007", "3", "Une méthode de programmation linéaire mixte pour les POMDP décentralisé à horizon fini"
"Informatique", "COUV", "2007", "1", "Traitement du signal pour le diagnostic"
"Linguistique", "ART", "2003", "1", "Les mots composés VN du français : arguments en faveur d'une construction morphologique"
"Informatique", "COMM", "2009", "3", "Conception et simulation collaborative d'une ligne d'assemblage final aéronautique - L'exemple d'un projet de fin d'études."
"Linguistique", "ART", "2015", "1", "La ponctuation en musique: Diderot, Rousseau, D'Alembert"
"Informatique", "COUV", "2011", "3", "Les outils logiciels permettant d'encadrer et de soutenir le travail du tuteur"
"Informatique", "COMM", "2012", "2", "Clustering par optimisation de la modularité pour trajectoires d'objets mobiles"
"Lettres", "COUV", "2017", "1", "Alexandre le Grand en Angleterre"
"Lettres", "COUV", "2013", "1", "La fin de l’autorité du pape chez Giuseppe Mazzini"
"Informatique", "COMM", "2007", "2", "Rééchantillonnage de l'échelle dans les algorithmes MCMC pour les problèmes inverses bilinéaires"
"Lettres", "ART", "2007", "1", "Carducci et Pascoli poètes civils"
"Informatique", "COMM", "2006", "2", "Prédiction de mobilité par le mobile ou par le point d'accès : comparaison sur base de traces réelles"
"Lettres", "COUV", "2013", "1", "« Ecrire ou traduire l'histoire quand on est une femme : un effacement volontaire ? »"
"Linguistique", "COMM", "2007", "1", "Grammaire métaopérationnelle et secteur LANSAD."
"Informatique", "COMM", "2009", "1", "Bibliothèque de communication multi-threadée pour architectures multi-coeurs"
"Lettres", "COUV", "2015", "1", "Réception de l'étranger dans la revue historique (1886-1887) : pour une mise en perspective des politiques de traduction"
"Informatique", "COMM", "2009", "4", "Ajustement automatique de surfaces paramétriques sur données de profondeur en présence d'un bruit hétérogène"
"Informatique", "COMM", "2006", "4", "Maintien de la couverture de surface dans les réseaux de capteurs avec une couche physique non idéale"
"Informatique", "COMM", "2013", "4", "Construction collaborative d'une Ressource Termino-Ontologique (RTO) pour le droit des collectivités territoriales"
"Linguistique", "COUV", "2010", "1", "L'interprétation des textes littéraires à l'université."
"Linguistique", "COUV", "2008", "1", "Présentation du symposium : Problématique, enjeux, interrogations"
"Informatique", "COMM", "2006", "2", "Méthodes SVM pour l'identification"
"Linguistique", "COMM", "2006", "1", "Développement précoce du contrôle moteur de la parole, ou qu'y a t-il dans un premier mot?"
"Informatique", "COMM", "2011", "6", "Construire et mettre en œuvre un outil d'auto-évaluation des compétences"
