"Domaine","Support","Année","Nauteurs","Titre"
"Informatique", "COMM", "2010", "4", "Modélisation de Contextes et Réduction d'Ordres-Partiel pour la Vérification Efficace de Systèmes SDL"
"Lettres", "ART", "2006", "1", "Le rapport au passé national-socialiste et à la Seconde Guerre mondiale dans la littérature contemporaine allemande : contextes et expressions (AA, n°178/2006, p. 3-14)"
"Informatique", "COMM", "2002", "2", "Service de Découverte Dynamique de Topologie des réseaux IPv6"
"Linguistique", "ART", "2001", "1", "A propos de la vie des yers en slave et en français"
"Informatique", "COMM", "2011", "1", "Expressivité et complexité de la génération aléatoire de structures combinatoires sous modèle de Boltzmann"
"Lettres", "COMM", "2017", "1", "Mal d'archive, bien du roman. De quelques archi-fictions contemporaines"
"Informatique", "COMM", "2003", "4", "Formalisation et évaluation de politiques P3P"
"Linguistique", "COMM", "2011", "1", "Expression du manque et qualification"
"Linguistique", "COMM", "2007", "2", "Le modèle de connaissances dans LyText"
"Informatique", "COMM", "2007", "2", "Coopération homme machine pour la mise en œuvre d'un ordonnancement de groupes"
"Informatique", "COMM", "2011", "5", "Approches spatiales cyclostationnaires pour le traitement des interférences en radioastronomie"
"Informatique", "COMM", "2003", "3", "Suivi générique et temps-reel d'objets 3D par asservissement visuel virtuel"
"Linguistique", "COMM", "2008", "1", "Description d'un morphème atypique : ça"
"Informatique", "COMM", "2003", "2", "Segmentation non supervisée d'images par chaîne de Markov couple"
"Lettres", "COMM", "2011", "1", "Summer Lightning à l'épreuve de la traduction"
"Informatique", "ART", "2008", "2", "À propos des mathématiques financières"
"Lettres", "COMM", "2015", "1", "Voyages imaginaires et utopie des savoirs au XVIIIe siècle"
"Informatique", "COMM", "2006", "3", "Modélisation d'un problème d'ordonnancement avec prise en compte des compétences"
"Lettres", "ART", "2018", "1", "Comment étudier Li Seint Confessor de Wauchier de Denain ?"
"Linguistique", "ART", "2012", "1", "James Harrington, critique dissident de la common law"
"Linguistique", "COMM", "2002", "1", "Réunions parisiennes du GDR 1954 «Phonologie » (organisateurs : Nick CLEMENTS et François DELL)"
"Linguistique", "COUV", "2006", "1", "L'écriture, une mémoire au service du pouvoir"
"Linguistique", "ART", "2009", "1", "Linguistique et développement"
"Linguistique", "ART", "2014", "1", "Le chat borgne. Un conte en arabe véhiculaire des îles Dahlak (Erythrée)"
"Lettres", "ART", "1998", "1", "Culture des élites et culture(s) populaires(s) du règne d'Elisabeth à la Restauration : ponts et points de passage dans les productions visuelles et écrites"
"Informatique", "COMM", "2008", "4", "Baladeurs multimédia et jeux audio : une alternative aux consoles portables pour personnes en situation de handicap visuel"
"Lettres", "COUV", "2006", "1", "Un procès de la littérature “fin de siècle” : Les Voyageurs de l’impériale d’Aragon ou la décadence en question"
"Linguistique", "COUV", "2017", "1", "Postface de l'ouvrage Discours, identité et leadership présidentiel en Amérique latine"
"Linguistique", "ART", "2012", "2", "De l'émergence à l'impact social des discours : hétérogénéités d'un corpus"
"Lettres", "COUV", "2014", "1", "Panorama de la recherche en littérature de jeunesse en France, 2013-2014"
"Linguistique", "COMM", "2006", "1", "A propos de deux métaphores chez Sībawayhi: isnād et ta'addī"
"Informatique", "COUV", "2014", "4", "Formations en alternance et usages des médias sociaux : conception collaborative d'une expérimentation dans le contexte de l'apprentissage agricole. In G. Lameul, & C. Loisy (dir.)"
"Linguistique", "ART", "2015", "1", "L'élaboration de la trace écrite : le rôle de la reformulation"
"Linguistique", "ART", "2018", "1", "« Ici commence le court bonheur de ma vie » : ici temporel dans la narration"
"Linguistique", "COUV", "2002", "1", "Lorsque le garde des sceaux est une ministre...Petites réflexions sociolinguistiques à propos d'une pré-enquête sur la féminisation des noms"
"Lettres", "ART", "2003", "1", "Liberté et fatalisme dans les Dialogues de Rousseau : Hyper-lucidité politique de la folie littéraire"
"Lettres", "COUV", "2014", "1", "Se connaître, se reconnaître auteur à l'orée de l'apprentissage"
"Linguistique", "COUV", "2009", "1", "La linguistique historique, nouveau terrain d’expérimentation de la phylogénie"
"Informatique", "COMM", "2010", "3", "Un modèle fondé sur la certitude pour les bases de données incertaines"
"Linguistique", "ART", "2001", "1", "Déficits herméneutiques lors de l'acquisition de la compétence narrative."
"Lettres", "COUV", "2011", "1", "Tours et détours du discours rapporté ou la préférence au silence"
"Lettres", "COMM", "2010", "1", "Vulnérabilité et discours humanitaires : le cas-limite des enfants-soldats"
"Linguistique", "COMM", "2010", "1", "Le français d'Haïti (dans sa relation osmotique avec le créole) : remarques à propos des sources existantes"
"Linguistique", "COMM", "2000", "1", "La diversité des étudiants, une question d'hétérogénéité ou d'altérité ?"
"Lettres", "COUV", "2013", "1", "Vocables sans ombre: intégration et désintégration dans les écritures bilingues"
"Informatique", "ART", "2000", "3", "Reconstruction d'images astronomiques à partir de séquences à faible flux: étude pour des mouvements gaussiens."
"Lettres", "ART", "2009", "1", "L'intemporel incarné : les corps des tourbières entre métaphore et littéralité"
"Informatique", "ART", "2011", "5", "La conception durable (Partie I) : enjeux et outils"
"Informatique", "ART", "2009", "1", "Encourager la mobilisation des acteurs"
"Lettres", "ART", "2001", "1", "Conseils pour l'édition des documents en langue italienne (XIVe-XVIIe siècle)"
"Informatique", "COMM", "2005", "5", "Modélisation de la chaîne logistique aval d'un établissement hospitalier par le modèle SCOR"
"Lettres", "COMM", "2009", "1", "Présences critiques de l'impérialisme dans le théâtre contemporain"
"Linguistique", "COMM", "2014", "1", "Apprendre l’anglais en passant par le français : le dispositif Plan Anglais de la Mairie de Saint-Denis"
"Lettres", "ART", "2014", "1", "Bouvard et Pécuchet remontent le temps"
"Lettres", "ART", "2008", "1", "Existe-t-il une définition topique de la rencontre comique ? (sur quelques romans comiques européens des XVIIe et XVIIIe siècles)"
"Informatique", "COMM", "2016", "2", "Une Méthode Hybride pour le Problème de Tournées de Véhicules avec Contraintes de Temps"
"Informatique", "COMM", "2013", "2", "Interpolation spatiale floue en Sciences de l'Environnement : de la faisabilité technique à l'utilisation experte"
"Lettres", "COMM", "2017", "1", "Nostalgie coloniale et exil paradoxal"
"Lettres", "COUV", "2014", "1", "Emergence et développement d’une littérature en langue vernaculaire : l’exemple du polysystème corse"
"Linguistique", "COUV", "2009", "1", "Martinet, André"
"Linguistique", "ART", "2005", "1", "La glose comme outil de désambiguïsation référentielle des noms propres purs"
"Informatique", "COMM", "2018", "3", "Déploiement efficace de drones pour la collecte de données de capteurs mobiles"
"Lettres", "COUV", "2017", "1", "Louis Le Roy traducteur et commentateur des Politiques ou comment tirer Aristote de « l’ombre scolastique »"
"Linguistique", "COMM", "2014", "2", "Intégration ou émancipation ? Plurilittératie, idéologie uniciste et imaginaire formatifs"
"Lettres", "ART", "1996", "1", "Pearl, Lear, regards de pères , in Divers toyes mengled, Essays on Medieval and Renaissance Culture, volume en hommage à André Lascombes, éds. Michel Bitot, Peter Happé, Roberta Mullini, Tours : Publications de l'Université François Rabelais, 1996, 69-79."
"Linguistique", "COUV", "2000", "1", "Tendre chair et dent dure dans le creuset des Fables de La Fontaine"
"Informatique", "COUV", "2002", "1", "L'apport de H. Simon dans le management et la décision"
"Linguistique", "COMM", "2014", "1", "Pour une relecture praxéologique des réformes en contexte multilingue : l’exemple de l’accompagnement personnalisé en Collectivité ultra-marine de Saint-Martin"
"Informatique", "COMM", "2005", "2", "Extraction de concepts sous contraintes dans des données d'expression de gènes"
"Linguistique", "COUV", "2003", "1", "Polysémie des verbes et traitement argumental dans les dictionnaires du XVIIe siècle : le verbe 'cuire"
"Lettres", "ART", "2016", "1", "« L’histoire plaisante, facétieuse, et récréative du Lazare de Tormes » (Anvers, 1594-1598)"
"Linguistique", "ART", "2010", "1", "La photographie aérienne, le point de vue, l'échelle"
"Informatique", "COMM", "2004", "3", "PoBOC : un algorithme de soft-clustering. Applications à l'apprentissage de règles et au traitement de données textuelles"
"Lettres", "ART", "2012", "1", "Compte rendu de l'ouvrage La légende du roi Arthur, dir. Thierry Delcourt, Paris, Seuil, 2009, 287 pp., 250 ill."
"Lettres", "ART", "2014", "1", "« ‘ Passera pas’ (le Temps) »"
"Informatique", "COMM", "2006", "1", "Focal: un atelier de construction modulaire de logiciels, tentant de répondre aux besoins de la sûreté et de la sécurité"
"Linguistique", "COMM", "2012", "3", "Une dimension cachée du curriculum réel de l'école maternelle: la littératie émergente?"
"Linguistique", "ART", "2015", "1", "Problèmes de compositionnalité en morphologie dérivationnelle : le cas de la conversion"
"Linguistique", "ART", "2012", "5", "Langue(s) et insertion: quelles relations, quelles orientations? Autour d'une controverse : le FLI"
"Informatique", "COMM", "2012", "2", "Intégration de données hétérogènes : un exemple pour la constitution de profils d’apprenants"
"Linguistique", "COUV", "2003", "2", "Onomasiologie, sémasiologie, étymologie. Le cas de baudroie, crapaud et autres enflures"
"Linguistique", "COUV", "2003", "1", "Les enjeux de la recherche sociolinguistique"
"Lettres", "ART", "2005", "1", "Qu’est-ce qu’une catastrophe pour un poète juif ?"
"Lettres", "COMM", "2007", "1", "« Robert Burns et les Romantiques ; ou, le poète et ses ménades »."
"Informatique", "ART", "2011", "1", "De l'intérêt des constructions molles en géométrie dynamique"
"Linguistique", "ART", "2005", "1", "Les mécanismes persuasifs des textes politiques. Propositions théoriques pour l'analyse de corpus"
"Lettres", "ART", "2004", "1", "Le chaman Jim Chee dans les romans policiers de Tony Hillerman : la tentation du magique"
"Informatique", "COMM", "2007", "1", "Klask : un outil dédié à la cartographie du réseau local"
"Linguistique", "COUV", "2010", "1", "JE comme AUTRE Mise en mots de l'altérité et de l'identité dans le langage de l'enfant"
"Linguistique", "COMM", "2008", "2", "Prosodie vietnamienne (Intonation, Rythme, Accentuation) - Vietnamien parlé - Parlers régionaux"
"Informatique", "COMM", "2011", "10", "Modular Musical Objects Towards Embodied Control Of Digital Music"
"Lettres", "COUV", "2014", "1", "L'écriture ludique de Mario Levrero"
"Linguistique", "COMM", "2001", "1", "La langue administrative du XVI° siècle à travers les comptes communaux de Gorbio"
"Lettres", "ART", "2010", "1", "Philippe Bonnefis : la charade et le joujou"
"Informatique", "ART", "2014", "1", "Les systèmes de navigation par satellites"
"Lettres", "COMM", "2012", "1", "Lire Alcools à la lumière des contes d'Apollinaire"
"Informatique", "COMM", "2012", "4", "Fouille de données pour la stylistique : cas des motifs séquentiels émergents"
"Informatique", "COMM", "2013", "3", "Schéma de Tatouage basé sur la quantification dans le contexte du Compressive Sensing"
"Linguistique", "COUV", "2011", "1", "Le Vocabulaire de Giraudoux. Introduction"
"Linguistique", "COMM", "2005", "1", "Le syntagme nominal dans le parler « kotoko » de Zina (Cameroun)"
"Linguistique", "ART", "2010", "1", "Typologie de la déflexivité"
"Informatique", "COMM", "2012", "5", "Calcul analytique de la force exercée par un inducteur solénoïdal sur un supraconducteur massif refroidi hors champ"
"Lettres", "COUV", "1999", "1", "Ordre et désordre dans le roman postmoderne : La ronde de nuit (1969) de Patrick Modiano et El jinete polaco (1991) d'Antonio Muñoz Molina"
"Informatique", "COMM", "2004", "5", "Modalités d'interaction avec des systèmes d'aide à la décision médicale par alerte ou à la demande pour délivrer des recommandations : une étude préliminaire dans le cadre de la prise en charge de l'hypertension"
"Lettres", "ART", "2007", "1", "Jouer Le Mystère de la Passion d’Arras : le patrimoine médiéval à l’épreuve de la scène"
"Lettres", "COUV", "1993", "1", "Vinet face aux Martyrs de Chateaubriand : entre une poétique et une esthétique"
"Lettres", "COUV", "1999", "1", "Samuel Taylor Coleridge, l'Ecriture-fantôme de l'histoire. Tautégorie, Allégorie, Traduction."
"Informatique", "COMM", "2016", "3", "Bandit Contextuel pour la Capture de Données Temps Réel sur les Médias Sociaux"
"Informatique", "COMM", "2016", "5", "La confiance est dans l'air ! Application à l'identification des parcours hospitaliers"
"Linguistique", "COMM", "2012", "1", "Français sur objectifs spécifiques : comment construire des parcours d'apprentissage ?"
"Linguistique", "ART", "2013", "1", "Call Me Kuchu"
"Lettres", "ART", "2013", "1", "À propos des Brisées. Sur la Route de la Soie, première étape."
"Linguistique", "COUV", "2015", "2", "Montée en tension et usage du courrier universitaire"
"Informatique", "ART", "2007", "3", "Kalinahia - Modèle de qualité de service pour les applications multimédia reconfigurables"
"Lettres", "COMM", "2017", "3", "La liste dans la campagne de l’eau de parfum Armani Sì : identités, engagements, capabilités"
"Lettres", "ART", "2014", "1", "S'incorporer l'étrange"
"Lettres", "ART", "2014", "1", "Les pisse-copie vus de Chavignolles. La presse périodique dans les dossiers de Bouvard et Pécuchet"
"Lettres", "ART", "2011", "1", "Cinéma(s) d’Égypte et littérature occidentale : un champ à explorer"
"Linguistique", "COUV", "2014", "1", "L'Anglais australien"
"Linguistique", "COUV", "2006", "1", "Genèse des conceptions logocentrique et égocentrique de la déixis"
"Linguistique", "COMM", "2010", "1", "De l'utilité des groupes de self-help dans la thérapie du bégaiement"
"Informatique", "COMM", "2010", "5", "Heuristiques architecturales et patrons de conception en Ingénierie Système - Contribution à l'interopérabilité des systèmes"
"Lettres", "COUV", "2018", "1", "Les figures de la vieillesse et de la mort dans Les contes du peuple russe sous la rédaction de V. A. Gatcuk (1894-1895)"
"Lettres", "COUV", "2013", "1", "Notice Kitty Crowther"
"Lettres", "COUV", "2010", "1", "Les Proses de Jouve sont-elles de la prose ?"
"Informatique", "ART", "2015", "1", "Les apports des Bell Labs à l’ingénierie de la voix (chantée)"
"Informatique", "COMM", "2005", "4", "La modélisation des interactions en pharmacologie : un outil d&apos;intégration des connaissances complexes"
"Lettres", "COUV", "2012", "1", "ou le Theatre pris pour cœleste Theatre. Scénographie et séance d' obligeante humeur dans la grande salle du Louvre"
"Linguistique", "COMM", "1994", "1", "Bilan ((en guise de conclusion du Colloque Consensus ex machina, Sorbonne, 1994))"
"Lettres", "ART", "1995", "1", "L'image des Bédouins dans la Description de l'Égypte"
"Lettres", "COMM", "2008", "1", "Le genre comme contexte : fonds de légitimation des attentes et lieux de normativités sémiotiques dans le cas du document électronique"
"Linguistique", "ART", "2014", "1", "Contes et identité : Wanto dans les contes gbaya et dans la communication actuelle"
"Lettres", "COMM", "2006", "1", "Matt(h)idia la prosélyte. Enquête sur l'appropriation d'une femme de la maison de Trajan dans le prototype juif du roman pseudo-clémentin"
"Lettres", "COMM", "2013", "1", "De la correspondance familière à la correspondance littéraire : De quelques usages de la lettre au XVIIIe siècle. Le cas Diderot-Grimm"
"Lettres", "COMM", "2008", "1", "Les Chinois ont-il méconnu le tragique ?"
"Linguistique", "COUV", "2008", "1", "Le tag, l'écriture réinventée ?"
"Linguistique", "COMM", "2006", "4", "DIXEM - un dicitonnaire sémique pour l'annotation et l'analyse sémantique des textes de langue française"
"Linguistique", "COMM", "2017", "4", "Les rituels dans le développement du langage de l'enfant"
"Linguistique", "COUV", "1997", "1", "Sens et informatique"
"Linguistique", "ART", "2017", "1", "La traduction des noms composés juridiques anglais en -ing dans les langues romanes"
"Lettres", "COUV", "1998", "1", "Fortitudo et stultitia. Remarques sur le personnage d'Estout dans les chansons de geste"
"Linguistique", "COUV", "2008", "1", "La rhétorique de la séduction dans la nouvelle 16 des Nouvelles récréations et joyeux devis de Bonaventure des Périers"
"Informatique", "COMM", "2011", "3", "Approche à Deux niveaux pour un Problème de Transport Longue Distance"
"Informatique", "COMM", "2015", "2", "Thésaurus distributionnels pour la recherche d'information et vice-versa"
"Informatique", "COMM", "2018", "4", "Estimation de visibilité dans un nuage de points LiDAR"
"Informatique", "COMM", "2015", "3", "Le plan XVII de Joffre a-t-il obéi à une logique économique ?"
"Lettres", "COUV", "2006", "1", "Paul Delouvrier et la construction européenne"
"Lettres", "COMM", "2008", "1", "Devenir Titayna, une journaliste à la croisée des chemins"
"Linguistique", "COUV", "2003", "1", "L’autonymie en classe de lecture"
"Lettres", "ART", "2009", "1", "Don Quijote et Dulcinea, ou quand l’univers fictionnel interroge la réalité de l’amour"
"Linguistique", "ART", "1998", "1", "Ovidiova ‘misogynie' v hádce o Román o Rùži (« La ‘misogynie' d'Ovide dans la Querelle du Roman de la Rose »)"
"Lettres", "COUV", "2007", "1", "La cacophonie du vide ou le comble didascalique dans le théâtre de Jean Tardieu"
"Lettres", "COMM", "2006", "1", "Albucius aux origines du roman chez Pascal Quignard"
"Lettres", "COUV", "2012", "1", "Les influences du portugais contemporain sur le système verbal du capverdien santiagais"
"Linguistique", "COMM", "2010", "1", "« Il faut que vous gardiez un esprit critique » : un exemple de traitement des valeurs dans l'interaction en cycle 3"
"Linguistique", "ART", "2007", "2", "La formation des prépositions complexes : grammaticalisation ou lexicalisation ?"
"Linguistique", "COMM", "1998", "1", "Diversité dialectale et nivellement linguistique : Le cas de l'arabe au Yémen (sud et est)"
"Linguistique", "COUV", "2017", "2", "Évaluation d’un dispositif hybride d’apprentissage de l’anglais en milieu universitaire : quels enjeux pour l’acquisition d’une L2 ?"
"Lettres", "COUV", "2011", "1", "Les entretiens du second exil de José Bergamín"
"Informatique", "COUV", "2015", "1", "Claudel et la Bohême vue de France, Paul Claudel et la Bohême. Dissonances et accords, éditions Classiques Garnier, 2015, p.33-46."
"Lettres", "COMM", "1996", "1", "La théorie du signe écrit dans les commentaires scotistes de Pierre Tartaret (1493)"
"Lettres", "ART", "2009", "1", "BD, mangas et comics : différences et influences"
"Linguistique", "COMM", "2015", "3", "Typologie automatique des langues à partir de treebanks"
"Linguistique", "ART", "2007", "1", "Langue politique et opinion publique en France au XVIIIe siècle"
"Informatique", "COMM", "2003", "2", "Pitch-Tracking of Reverberant Sounds, Application to Spatial Description of Sound Scenes"
"Lettres", "ART", "2008", "2", "Théophile de Viau et la poétique du soleil noir"
"Lettres", "COUV", "2000", "1", "Le bilinguisme à travers deux littératures émergentes : les cas du roman beur et du roman chicano"
"Lettres", "COMM", "2013", "1", "L’Éloge littéraire d'Anders Breivik de Richard Millet à la lumière de la littérature pamphlétaire de l'entre-deux guerres"
"Informatique", "COMM", "2012", "4", "Repérage précis de caméras multispectrales et de scanners 3D pour le recalage de données multicapteurs appliqué à l'étude du patrimoine"
"Lettres", "COMM", "2013", "1", "Mémoires enfouies, décomposées, reformulées"
"Linguistique", "COUV", "2013", "1", "Warum Krieg ? Les mots du discours dans la correspondance d'Albert Einstein et Sigmund Freud : de l'argumentation au dévoilement de soi"
"Lettres", "COMM", "2015", "1", "La défenestration à l’œuvre dans Mason & Dixon de Thomas Pynchon"
"Informatique", "COMM", "2011", "1", "La théorie de Galois en Informatique"
"Linguistique", "ART", "2003", "1", "Les représentations du moment de l'énonciation : hétérogénéités, ambivalences et reconstruction du sens"
"Lettres", "COUV", "2014", "1", "Samoyède"
"Lettres", "COMM", "2013", "1", "Merveilles à l'encan, Marseille et la curiosité"
"Linguistique", "ART", "2008", "1", "Analyse de situations de compréhension de l'oral au CM2 : pistes de réflexion pour l'enseignement et la formation."
"Informatique", "COMM", "2012", "2", "Visualisation de données multivariées: réimplémentation des fonctionnalités graphiques de la librairie ade4"
"Linguistique", "COMM", "2011", "1", "L'emploi des langues en outre mer : multilinguisme, plurilinguisme, pratiques individuelles et pratiques sociales"
"Lettres", "COUV", "2010", "1", "L’éclat et le silence : de Bossuet à Lakoff, une clarté anti-conversationnelle ?"
"Linguistique", "COMM", "2010", "1", "De l'écrit de recherche à l'écrit de recherche en formation"
"Linguistique", "COUV", "2006", "1", "Complétives et formalisation"
"Informatique", "COMM", "2015", "2", "Transforming quantitative variables into qualitative ones: rationale and method. Application to French intonation."
"Informatique", "COMM", "2015", "4", "Dynamique et synchronisme de réplication de l'ADN dans des cellules vivantes -- Analyse de marqueurs fluorescents"
"Lettres", "COMM", "2013", "1", "Tromperie et vérité dans trois textes brefs : Les Lais de Marie de France, La Châtelaine de Vergy, Les Miracles de Notre-Dame"
"Informatique", "COMM", "2009", "2", "Optimisation des facteurs de pondération du détecteur à annulation parallèle d'interférence dans les systèmes DS-CDMA"
"Linguistique", "COUV", "2006", "2", "Sophie Calle, douleur exquise."
"Informatique", "COMM", "2018", "1", "Construction d'un corpus multilingue annoté en relations de traduction"
"Lettres", "ART", "2000", "1", "Les contes africains d’Olivier de Bouveignes"
"Informatique", "ART", "2014", "1", "Humanités & numérique : Transformation des savoirs et des métiers"
"Linguistique", "COUV", "2006", "1", "Itinéraires narratifs en purepecha"
"Informatique", "ART", "2007", "2", "Modélisation de la coordination dans les grammaires d'interaction"
"Linguistique", "ART", "2005", "1", "Le traitement de l'adverbe au-delà du livre XV des IG de Priscien"
"Lettres", "ART", "2013", "1", "Compte rendu de l’exposition De l’Allemagne, 1800-1939. De Friedrich à Beckmann"
"Informatique", "ART", "2000", "3", "Les représentations de connaissances par objets"
"Informatique", "COMM", "2016", "5", "Manipulation interactive d'ensemble de motifs : application aux parcours hospitaliers"
"Informatique", "COMM", "2007", "3", "Schéma Intelligent de Décision du Handover Vertical dans les Réseaux Hétérogènes"
"Informatique", "COMM", "2000", "2", "Effet de récence dans une tâche de jugement de la sonie"
"Informatique", "COMM", "2014", "3", "L'impact de la disponibilité et de la fiabilité des informations sur le nombre de repositionnements dans un terminal à conteneurs"
"Lettres", "ART", "2012", "1", "Éros mélancolique de Jacques Roubaud et Anne F. Garréta: écriture, photographie et disparition"
"Informatique", "ART", "2000", "1", "La conduite des robots"
"Informatique", "COMM", "2009", "5", "WICRI : construire des réseaux de la recherche et de l'innovation dans l'UPM"
"Informatique", "COMM", "2011", "3", "PERSUA2, un modèle pour unifier le processus de personnalisation des activités d'apprentissage"
"Lettres", "COUV", "2004", "1", "Les formes de la violence : romances, sonnets et autres poèmes dans la tourmente de la guerre civile"
"Linguistique", "ART", "2009", "2", "Mot et traitement automatique des langues"
"Linguistique", "COUV", "2016", "1", "Postface au Dictionnaire pour lire et pour écrire"
"Informatique", "COUV", "2007", "3", "La préhistoire en un clic"
"Lettres", "ART", "2016", "1", "Trace, Présupposition et « nisba » géographique : Étude dialogique du mot « roum » chez Amin Maalouf"
"Linguistique", "ART", "2005", "1", "Négation et argumentation dans La Démocratie en Amérique de Tocqueville"
"Informatique", "COMM", "2012", "4", "Représentation de services web : impact sur la découverte et la recommandation"
"Lettres", "ART", "2010", "1", "Paule Régnier (1888-1950"
"Lettres", "ART", "2005", "1", "Les ballades insérées dans la « Moralité de Fortune et Povreté »"
"Lettres", "ART", "2004", "1", "'In the base court ? Come down ? ' (3.3.182) : Espace et pouvoir dans Richard II"
"Lettres", "COUV", "2006", "1", "« Mélancolies cosmiques : Le principe d'incertitude de Michel Rio »"
"Informatique", "COMM", "2002", "3", "Les Documents actifs base's sur une Machine Virtuelle Virtuelle"
"Lettres", "COMM", "2012", "1", "Les livres d'Alfred Jarry, entre art populaire et bibliophilie"
"Linguistique", "COMM", "2013", "1", "Le déplacement comme changement : applications et conséquences pour la typologie"
"Informatique", "COMM", "2002", "2", "Supervision et contrôle des réseaux et services : retour vers le futur"
"Lettres", "ART", "2016", "2", "L’album de littérature de jeunesse : genre, forme et/ou medium scolaire ?"
"Informatique", "ART", "2008", "1", "Passer de {LaTeX} Ã {xsl-fo}"
"Informatique", "COUV", "2007", "1", "Les ERP : un atout pour la cohérence, un risque pour la flexibilité ?"
"Lettres", "COMM", "2010", "1", "L'Occident européen à table: préférences et identités alimentaires"
"Informatique", "COMM", "2012", "2", "Agrégations de Among à l'aide de décompositions"
"Lettres", "COUV", "2013", "1", "L'Emblème messin de Jean-Jacques Boissard: entre Empire et Royaume de France"
"Lettres", "COMM", "2016", "1", "Pierre Bergounioux : le principe historique"
"Informatique", "COMM", "2010", "3", "Comparaison des propriétés acoustiques de la parole lue, préparée et conversationnelle en français"
"Lettres", "COUV", "2016", "1", "L'autotraduction, exercice contraint ?"
"Linguistique", "ART", "1997", "1", "Lecture et cyberlecture"
"Informatique", "COMM", "2006", "2", "Topologie virtuelle pour la découverte de service dans les réseaux ad hoc"
